Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Power_inlet_vertical","Wurth-694106402002",-4.272756,2.528661,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.342768,0.749999,0.000000,top
"C1","C_0805_10uf","C_0805_2012Metric",2.950000,3.050000,180.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",4.666535,1.400000,180.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",4.540000,2.820000,0.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",2.950000,2.450000,0.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",4.850000,2.350000,180.000000,top
"C6","C_0805_22pf","C_0805_2012Metric",3.316535,2.200787,180.000000,top
"C7","C_0805_22pf","C_0805_2012Metric",3.516535,2.200787,0.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",3.300000,0.720000,180.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",3.050000,0.720000,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",2.700000,3.050000,0.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.950000,1.700000,90.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",4.450000,1.900000,0.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",2.900000,3.250000,90.000000,top
"R1","R_0805_47","R_0805_2012Metric",2.346850,2.475000,0.000000,top
"R2","R_0805_47","R_0805_2012Metric",2.546850,2.475000,0.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",2.300000,3.050000,0.000000,top
"R4","R_0805_10K","R_0805_2012Metric",4.000000,3.116535,90.000000,top
"R5","R_0805_4.7K","R_0805_2012Metric",2.500000,3.050000,0.000000,top
"R6","R_0805_22K","R_0805_2012Metric",2.850000,0.700000,180.000000,top
"R7","R_0805_10K","R_0805_2012Metric",2.146535,0.140000,0.000000,top
"R8","R_0805_10K","R_0805_2012Metric",2.826535,0.150000,0.000000,top
"R9","R_0805_2.2K","R_0805_2012Metric",2.700000,3.150000,0.000000,top
"R10","R_0805_10K","R_0805_2012Metric",3.520000,0.140000,180.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.700000,3.250000,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.180000,0.450000,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.850000,0.450000,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.520000,0.440000,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",2.297244,2.625394,90.000000,top
"U2","L7805","TO-252-2",5.000000,2.550000,0.000000,top
"U3","MAX7219","DIP-24_W7.62mm",3.400197,1.200000,-90.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",0.750394,2.049606,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",3.400000,2.400000,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",0.500000,2.000000,90.000000,top
